ILMN_1669584 ILF3
ILMN_1796968 INTS5
ILMN_1829319 NA
ILMN_1745152 UQCC1
ILMN_1657129 SKAP2
ILMN_1695092 WRB
ILMN_1658290 METTL22
ILMN_1702430 SOX30
ILMN_1709451 TFPT
ILMN_1728094 FASTKD2
ILMN_1692306 ATG13
ILMN_1687036 MRPL47
ILMN_1800844 ARPC5L
ILMN_1766505 NA
ILMN_1814247 TCFL5
ILMN_1703720 SF3B6
ILMN_1717234 CAST
ILMN_1726520 TDP1
ILMN_1736637 TBC1D23
ILMN_1713759 UBE2J1
ILMN_1763136 C12orf60
ILMN_1686562 KIF13B
ILMN_1672122 P4HTM
ILMN_1700238 ZNF500
ILMN_1682368 LRWD1
ILMN_1849013 IL6ST
ILMN_1785661 ABHD17B
ILMN_1731854 MOB1A
ILMN_1662174 ORMDL3
ILMN_1653443 CDK2
ILMN_1665559 CDK2
ILMN_1786823 ICAM2
ILMN_1699737 TRAP1
ILMN_1730631 C2orf44
ILMN_1764361 DUSP16
ILMN_1715908 NCAPH2
ILMN_1737788 CENPM
ILMN_1680955 AURKA
ILMN_1768962 AKAP8L
ILMN_1774844 MAPKAPK2
ILMN_1798204 IL21R
ILMN_1778690 DNM1L
ILMN_1684585 ACSL1
ILMN_1823231 NA
ILMN_1756795 ZNF510
ILMN_1791904 ATP13A1
ILMN_1702995 KLF6
ILMN_1710092 ZBTB46
ILMN_1739032 TMEM70
ILMN_1713319 PBLD
ILMN_1741131 CHRNB1
ILMN_1706664 RIMKLA
ILMN_1803676 ENOSF1
ILMN_1814282 AEN
ILMN_1721034 ZNF227
ILMN_1701551 ABCA6
ILMN_1754507 IRF4
ILMN_1670787 CDK14
ILMN_1700584 IER2
ILMN_1723846 METTL21B
ILMN_1723232 NA
ILMN_1752478 DHRS3
ILMN_1807825 LY86
ILMN_1718963 HARS2
ILMN_1757646 UFM1
ILMN_1691438 PITPNB
ILMN_1691946 FAM173B
ILMN_1696749 LMNA
ILMN_1737394 LMNA
ILMN_1652729 ANK2
